case,cores,status,makespan_cycles,added_copy_bytes,speedup,method,plan_file
case_096,4,scored,25267,260786,3.332172399,fm_selected_refined,plans/case_096_4cores.json
case_096,5,scored,19703,330226,4.273156372,fm_5core_latest,plans/case_096_5cores.json
case_097,1,scored,11491509,10584064,1.000000000,singlecore,
case_097,2,scored,5238534,32989184,2.193649788,fm_selected_refined,plans/case_097_2cores.json
case_097,3,scored,3557451,35987456,3.230264872,fm_selected_refined,plans/case_097_3cores.json
case_097,4,scored,2665324,36055040,4.311486709,fm_selected_refined,plans/case_097_4cores.json
case_097,5,scored,2104506,29966336,5.460430619,fm_5core_latest,plans/case_097_5cores.json
case_098,1,scored,177430,0,1.000000000,singlecore,
case_098,2,scored,98812,909430,1.795632109,fm_selected_refined,plans/case_098_2cores.json
case_098,3,scored,66304,749690,2.676007481,fm_selected_refined,plans/case_098_3cores.json
case_098,4,scored,53280,798842,3.330142643,fm_selected_refined,plans/case_098_4cores.json
case_098,5,scored,43354,716908,4.092586613,fm_5core_latest,plans/case_098_5cores.json
case_099,1,scored,1622999,5484544,1.000000000,singlecore,
case_099,2,scored,811392,7303168,2.000264977,fm_selected_refined,plans/case_099_2cores.json
case_099,3,scored,541765,7999488,2.995762000,fm_selected_refined,plans/case_099_3cores.json
case_099,4,scored,410213,9666568,3.956478707,fm_selected_refined,plans/case_099_4cores.json
case_099,5,scored,331403,10842128,4.897357598,fm_5core_latest,plans/case_099_5cores.json
case_100,1,scored,151223,0,1.000000000,singlecore,
case_100,2,scored,82089,443648,1.842183484,fm_selected_refined,plans/case_100_2cores.json
case_100,3,scored,56062,1035376,2.697424280,fm_selected_refined,plans/case_100_3cores.json
case_100,4,scored,43243,1046088,3.497051546,fm_selected_refined,plans/case_100_4cores.json
case_100,5,scored,41039,1023552,3.684860742,fm_5core_latest,plans/case_100_5cores.json
