cores,scored_cases,mean_no_l2_added_copy_bytes,mean_cache_added_copy_bytes,mean_cache_hit_rate
1,100,12416861.200,12416861.200,0.092037118
2,100,12503046.560,12515502.800,0.189830435
3,100,15139551.760,15147904.160,0.264192108
4,100,11953343.080,11963838.240,0.281786324
5,100,12524569.860,12562568.380,0.320301685
