case,cores,status,makespan_cycles,added_copy_bytes,speedup,spill_added_copy_bytes,official_evals,solver_seconds,plan_file,result_file
case_014,2,scored,8897730,71757240,1.989117000,61864032,4,302.283,results_problem2/case_014_2cores/best_plan.json,
case_014,3,scored,5985661,77714952,2.956837348,59605848,4,302.365,results_problem2/case_014_3cores/best_plan.json,
case_014,4,scored,4518611,82627992,3.916828866,52948368,4,302.505,results_problem2/case_014_4cores/best_plan.json,
case_014,5,scored,3665309,88238376,4.828685931,51812808,4,302.710,results_problem2/case_014_5cores/best_plan.json,
case_015,1,singlecore_reference,177362,0,1.000000000,,0,0,,
case_015,2,scored,85778,858484,2.067686353,90116,8,7.707,results_problem2/case_015_2cores/best_plan.json,
case_015,3,scored,58187,872116,3.048137900,8192,11,10.737,results_problem2/case_015_3cores/best_plan.json,
case_015,4,scored,46050,987108,3.851509229,0,12,12.887,results_problem2/case_015_4cores/best_plan.json,
case_015,5,scored,40816,336384,4.345403763,0,11,10.599,results_problem2/case_015_5cores/best_plan.json,
case_016,1,singlecore_reference,7715523,0,1.000000000,,0,0,,
case_016,2,scored,4661234,400528,1.655253308,0,5,158.854,results_problem2/case_016_2cores/best_plan.json,
case_016,3,scored,3875557,402984,1.990816546,0,8,318.771,results_problem2/case_016_3cores/best_plan.json,
case_016,4,scored,3380175,373848,2.282580931,0,10,301.238,results_problem2/case_016_4cores/best_plan.json,
case_016,5,scored,2087323,214900,3.696372339,0,8,275.414,results_problem2/case_016_5cores/best_plan.json,
case_017,1,singlecore_reference,162810,0,1.000000000,,0,0,,
case_017,2,scored,77061,87552,2.112741854,0,11,11.940,results_problem2/case_017_2cores/best_plan.json,
case_017,3,scored,49107,314432,3.315413281,0,11,13.039,results_problem2/case_017_3cores/best_plan.json,
case_017,4,scored,38524,500624,4.226196657,0,10,12.585,results_problem2/case_017_4cores/best_plan.json,
case_017,5,scored,32877,724872,4.952094169,0,11,17.319,results_problem2/case_017_5cores/best_plan.json,
case_018,1,singlecore_reference,1004367,0,1.000000000,,0,0,,
case_018,2,scored,500068,6304768,2.008460849,2138112,8,28.865,results_problem2/case_018_2cores/best_plan.json,
case_018,3,scored,335187,7473152,2.996437809,671744,8,31.169,results_problem2/case_018_3cores/best_plan.json,
case_018,4,scored,257954,8522240,3.893589555,28032,8,30.551,results_problem2/case_018_4cores/best_plan.json,
case_018,5,scored,208026,4993032,4.828083990,393216,8,24.009,results_problem2/case_018_5cores/best_plan.json,
case_019,1,singlecore_reference,81144,0,1.000000000,,0,0,,
case_019,2,scored,39408,30244,2.059074300,0,4,1.783,results_problem2/case_019_2cores/best_plan.json,
