case,cores,status,makespan_cycles,added_copy_bytes,speedup,spill_added_copy_bytes,official_evals,solver_seconds,plan_file,result_file
case_058,2,scored,2196096,19181568,2.067176025,4202496,8,210.495,results_problem2/case_058_2cores/best_plan.json,
case_058,3,scored,1461951,16662528,3.105245661,7471104,8,170.180,results_problem2/case_058_3cores/best_plan.json,
case_058,4,scored,1095793,31772672,4.142860011,417792,8,206.487,results_problem2/case_058_4cores/best_plan.json,
case_058,5,scored,876974,20807680,5.176569659,770048,7,163.216,results_problem2/case_058_5cores/best_plan.json,
case_059,1,singlecore_reference,829473,0,1.000000000,,0,0,,
case_059,2,scored,369318,360448,2.245958767,0,6,11.401,results_problem2/case_059_2cores/best_plan.json,
case_059,3,scored,246806,2531328,3.360829964,0,8,20.560,results_problem2/case_059_3cores/best_plan.json,
case_059,4,scored,185216,1081344,4.478408993,0,7,12.769,results_problem2/case_059_4cores/best_plan.json,
case_059,5,scored,149026,5160960,5.565961644,0,8,24.202,results_problem2/case_059_5cores/best_plan.json,
case_060,1,singlecore_reference,888789,0,1.000000000,,0,0,,
case_060,2,scored,430219,2281952,2.065898996,294960,11,45.108,results_problem2/case_060_2cores/best_plan.json,
case_060,3,scored,289089,3793744,3.074447661,122904,11,56.247,results_problem2/case_060_3cores/best_plan.json,
case_060,4,scored,217626,4131824,4.084020292,32768,11,56.662,results_problem2/case_060_4cores/best_plan.json,
case_060,5,scored,178318,5717140,4.984292107,24580,11,61.977,results_problem2/case_060_5cores/best_plan.json,
case_061,1,singlecore_reference,77191,0,1.000000000,,0,0,,
case_061,2,scored,37922,74752,2.035520278,0,10,9.248,results_problem2/case_061_2cores/best_plan.json,
case_061,3,scored,25831,169984,2.988308621,0,11,10.551,results_problem2/case_061_3cores/best_plan.json,
case_061,4,scored,20877,163328,3.697418211,0,11,10.767,results_problem2/case_061_4cores/best_plan.json,
case_061,5,scored,17680,237056,4.366006787,0,11,11.928,results_problem2/case_061_5cores/best_plan.json,
case_062,1,singlecore_reference,2854809,0,1.000000000,,0,0,,
case_062,2,scored,1433656,104448,1.991278940,0,8,216.380,results_problem2/case_062_2cores/best_plan.json,
case_062,3,scored,955835,4521984,2.986717373,0,8,188.132,results_problem2/case_062_3cores/best_plan.json,
case_062,4,scored,716538,5062656,3.984169716,0,8,192.428,results_problem2/case_062_4cores/best_plan.json,
case_062,5,scored,575377,4580352,4.961632113,0,7,181.554,results_problem2/case_062_5cores/best_plan.json,
case_063,1,singlecore_reference,1070397,0,1.000000000,,0,0,,
case_063,2,scored,536776,1167360,1.994122315,0,8,52.583,results_problem2/case_063_2cores/best_plan.json,
case_063,3,scored,358955,1711104,2.981981028,0,8,53.952,results_problem2/case_063_3cores/best_plan.json,
case_063,4,scored,270126,1628160,3.962584127,0,7,57.693,results_problem2/case_063_4cores/best_plan.json,
case_063,5,scored,217873,1665024,4.912940107,0,7,58.408,results_problem2/case_063_5cores/best_plan.json,
case_064,1,singlecore_reference,19116,0,1.000000000,,0,0,,
case_064,2,scored,11243,40806,1.700257938,0,10,7.434,results_problem2/case_064_2cores/best_plan.json,
case_064,3,scored,9675,78572,1.975813953,0,11,8.928,results_problem2/case_064_3cores/best_plan.json,
case_064,4,scored,7134,95826,2.679562658,0,9,8.292,results_problem2/case_064_4cores/best_plan.json,
case_064,5,scored,7146,95922,2.675062972,0,10,9.806,results_problem2/case_064_5cores/best_plan.json,
case_065,1,singlecore_reference,53068,0,1.000000000,,0,0,,
case_065,2,scored,22364,69288,2.372920766,0,11,8.821,results_problem2/case_065_2cores/best_plan.json,
case_065,3,scored,16678,115016,3.181916297,0,10,8.862,results_problem2/case_065_3cores/best_plan.json,
case_065,4,scored,13797,174040,3.846343408,0,10,8.509,results_problem2/case_065_4cores/best_plan.json,
case_065,5,scored,11459,55872,4.631119644,0,10,6.823,results_problem2/case_065_5cores/best_plan.json,
case_066,1,singlecore_reference,359070,0,1.000000000,,0,0,,
case_066,2,scored,179648,1349172,1.998741984,0,11,52.705,results_problem2/case_066_2cores/best_plan.json,
case_066,3,scored,124967,2007220,2.873318556,0,11,57.266,results_problem2/case_066_3cores/best_plan.json,
case_066,4,scored,98947,2404816,3.628912448,0,12,65.489,results_problem2/case_066_4cores/best_plan.json,
case_066,5,scored,85939,2643850,4.178196162,0,11,61.681,results_problem2/case_066_5cores/best_plan.json,
case_067,1,singlecore_reference,63834834,0,1.000000000,,0,0,,
case_067,2,scored,31892838,249803136,2.001541349,238374912,9,87.464,results_problem2/case_067_2cores/best_plan.json,
case_067,3,scored,21878474,198630144,2.917700476,182128640,11,110.755,results_problem2/case_067_3cores/best_plan.json,
case_067,4,scored,15976098,208759936,3.995646121,178958336,11,118.017,results_problem2/case_067_4cores/best_plan.json,
case_067,5,scored,13321145,209565184,4.791993031,177870848,11,122.306,results_problem2/case_067_5cores/best_plan.json,
case_068,1,singlecore_reference,362095,0,1.000000000,,0,0,,
case_068,2,scored,185515,1653422,1.951836779,0,11,52.171,results_problem2/case_068_2cores/best_plan.json,
case_068,3,scored,130368,2305940,2.777483738,0,11,53.105,results_problem2/case_068_3cores/best_plan.json,
case_068,4,scored,101868,2762406,3.554550988,0,11,56.055,results_problem2/case_068_4cores/best_plan.json,
case_068,5,scored,95451,2564776,3.793517093,0,11,60.934,results_problem2/case_068_5cores/best_plan.json,
case_069,1,singlecore_reference,25144,0,1.000000000,,0,0,,
case_069,2,scored,13247,161990,1.898090134,0,10,8.631,results_problem2/case_069_2cores/best_plan.json,
case_069,3,scored,10424,292394,2.412125863,0,10,9.748,results_problem2/case_069_3cores/best_plan.json,
case_069,4,scored,10017,403598,2.510132774,0,11,11.146,results_problem2/case_069_4cores/best_plan.json,
case_069,5,scored,9272,360498,2.711820535,0,12,12.493,results_problem2/case_069_5cores/best_plan.json,
case_070,1,singlecore_reference,117300,0,1.000000000,,0,0,,
case_070,2,scored,55685,180752,2.106491874,0,10,10.804,results_problem2/case_070_2cores/best_plan.json,
case_070,3,scored,34902,418836,3.360838920,0,11,13.951,results_problem2/case_070_3cores/best_plan.json,
case_070,4,scored,28654,563472,4.093669296,0,11,14.531,results_problem2/case_070_4cores/best_plan.json,
case_070,5,scored,24822,743956,4.725646604,0,11,13.751,results_problem2/case_070_5cores/best_plan.json,
case_071,1,singlecore_reference,18919,0,1.000000000,,0,0,,
case_071,2,scored,10396,119846,1.819834552,0,9,6.237,results_problem2/case_071_2cores/best_plan.json,
case_071,3,scored,8246,243978,2.294324521,0,8,7.439,results_problem2/case_071_3cores/best_plan.json,
case_071,4,scored,7923,263694,2.387858135,0,8,7.936,results_problem2/case_071_4cores/best_plan.json,
case_071,5,scored,7715,297042,2.452235904,0,9,9.153,results_problem2/case_071_5cores/best_plan.json,
case_072,1,singlecore_reference,23897828,0,1.000000000,,0,0,,
case_072,2,scored,11985940,148672560,1.993821761,121065520,4,312.217,results_problem2/case_072_2cores/best_plan.json,
case_072,3,scored,8152149,219517292,2.931475860,91383824,4,308.976,results_problem2/case_072_3cores/best_plan.json,
case_072,4,scored,6254063,150450224,3.821168415,94523440,4,300.613,results_problem2/case_072_4cores/best_plan.json,
case_072,5,scored,4796401,130777776,4.982449966,91545600,5,301.687,results_problem2/case_072_5cores/best_plan.json,
case_073,1,singlecore_reference,10081626,0,1.000000000,,0,0,,
case_073,2,scored,5285049,100529024,1.907574745,95782912,9,37.014,results_problem2/case_073_2cores/best_plan.json,
case_073,3,scored,4121301,132847872,2.446224141,124031488,7,27.455,results_problem2/case_073_3cores/best_plan.json,
case_073,4,scored,3372559,97942144,2.989310491,85125120,11,43.183,results_problem2/case_073_4cores/best_plan.json,
case_073,5,scored,2994495,101126144,3.366719931,84527104,11,46.185,results_problem2/case_073_5cores/best_plan.json,
case_074,1,singlecore_reference,1682239,0,1.000000000,,0,0,,
case_074,2,scored,832145,7200768,2.021569558,4915200,7,23.236,results_problem2/case_074_2cores/best_plan.json,
case_074,3,scored,554189,7868428,3.035496915,3207168,8,28.018,results_problem2/case_074_3cores/best_plan.json,
case_074,4,scored,422052,7303220,3.985857193,81920,11,46.437,results_problem2/case_074_4cores/best_plan.json,
case_074,5,scored,345058,7983104,4.875235468,1183744,11,42.379,results_problem2/case_074_5cores/best_plan.json,
case_075,1,singlecore_reference,1441809,0,1.000000000,,0,0,,
case_075,2,scored,724408,2777222,1.990327274,0,11,84.995,results_problem2/case_075_2cores/best_plan.json,
case_075,3,scored,482691,4925452,2.987022754,0,11,84.422,results_problem2/case_075_3cores/best_plan.json,
case_075,4,scored,389698,4852784,3.699811136,0,7,61.941,results_problem2/case_075_4cores/best_plan.json,
case_075,5,scored,322990,5507508,4.463943156,0,11,98.171,results_problem2/case_075_5cores/best_plan.json,
case_076,1,singlecore_reference,6185113,0,1.000000000,,0,0,,
case_076,2,scored,3083890,15496196,2.005620499,11354112,6,301.346,results_problem2/case_076_2cores/best_plan.json,
case_076,3,scored,2050955,20953480,3.015723407,344064,7,312.277,results_problem2/case_076_3cores/best_plan.json,
case_076,4,scored,1536520,25074700,4.025403509,1896448,7,313.698,results_problem2/case_076_4cores/best_plan.json,
case_076,5,scored,1227382,27101580,5.039273022,364544,7,316.144,results_problem2/case_076_5cores/best_plan.json,
case_077,1,singlecore_reference,495320,0,1.000000000,,0,0,,
case_077,2,scored,250535,1516588,1.977049115,0,11,37.938,results_problem2/case_077_2cores/best_plan.json,
case_077,3,scored,172020,2407302,2.879432624,0,11,39.362,results_problem2/case_077_3cores/best_plan.json,
case_077,4,scored,129782,2672898,3.816553913,0,11,39.384,results_problem2/case_077_4cores/best_plan.json,
case_077,5,scored,107828,2854170,4.593612049,0,11,40.648,results_problem2/case_077_5cores/best_plan.json,
case_078,1,singlecore_reference,2296143,0,1.000000000,,0,0,,
case_078,2,scored,1067370,3610752,2.151215605,1462272,8,6.462,results_problem2/case_078_2cores/best_plan.json,
case_078,3,scored,702362,6705408,3.269173161,0,11,12.374,results_problem2/case_078_3cores/best_plan.json,
case_078,4,scored,564504,6445440,4.067540708,0,6,5.968,results_problem2/case_078_4cores/best_plan.json,
case_078,5,scored,467821,11899392,4.908165730,0,10,12.640,results_problem2/case_078_5cores/best_plan.json,
case_079,1,singlecore_reference,31052251,0,1.000000000,,0,0,,
case_079,2,scored,15121479,93573120,2.053519434,33218560,7,301.193,results_problem2/case_079_2cores/best_plan.json,
case_079,3,scored,10353747,211304448,2.999131715,94887936,7,301.039,results_problem2/case_079_3cores/best_plan.json,
case_079,4,scored,7635624,30445568,4.066760097,19496960,8,292.039,results_problem2/case_079_4cores/best_plan.json,
case_079,5,scored,6074527,47542272,5.111879657,24293376,8,301.072,results_problem2/case_079_5cores/best_plan.json,
case_080,1,singlecore_reference,292138,0,1.000000000,,0,0,,
case_080,2,scored,145224,1331200,2.011637195,0,7,7.114,results_problem2/case_080_2cores/best_plan.json,
case_080,3,scored,97525,1376256,2.995519098,0,7,7.794,results_problem2/case_080_3cores/best_plan.json,
case_080,4,scored,90804,3362816,3.217237126,0,7,9.364,results_problem2/case_080_4cores/best_plan.json,
case_080,5,scored,91352,3178496,3.197937648,0,7,9.920,results_problem2/case_080_5cores/best_plan.json,
case_081,1,singlecore_reference,151795,0,1.000000000,,0,0,,
case_081,2,scored,76860,0,1.974954463,0,5,12.975,results_problem2/case_081_2cores/best_plan.json,
case_081,3,scored,51943,0,2.922337947,0,6,14.047,results_problem2/case_081_3cores/best_plan.json,
case_081,4,scored,39588,0,3.834369001,0,6,13.994,results_problem2/case_081_4cores/best_plan.json,
case_081,5,scored,30943,0,4.905632938,0,6,13.753,results_problem2/case_081_5cores/best_plan.json,
case_082,1,singlecore_reference,721041,0,1.000000000,,0,0,,
case_082,2,scored,352197,847878,2.047266161,0,8,24.078,results_problem2/case_082_2cores/best_plan.json,
case_082,3,scored,229004,2185708,3.148595658,0,11,33.593,results_problem2/case_082_3cores/best_plan.json,
case_082,4,scored,180108,3129874,4.003381305,0,11,35.940,results_problem2/case_082_4cores/best_plan.json,
case_082,5,scored,153699,3234934,4.691253684,0,11,40.138,results_problem2/case_082_5cores/best_plan.json,
case_083,1,singlecore_reference,1057993,0,1.000000000,,0,0,,
case_083,2,scored,497211,6591072,2.127855176,5597184,6,19.137,results_problem2/case_083_2cores/best_plan.json,
case_083,3,scored,309025,2678976,3.423648572,532480,7,22.853,results_problem2/case_083_3cores/best_plan.json,
case_083,4,scored,242593,3986208,4.361185195,0,11,33.056,results_problem2/case_083_4cores/best_plan.json,
case_083,5,scored,202838,5268864,5.215950660,49152,11,32.578,results_problem2/case_083_5cores/best_plan.json,
case_084,1,singlecore_reference,2507412,0,1.000000000,,0,0,,
case_084,2,scored,1255052,0,1.997855069,0,6,77.066,results_problem2/case_084_2cores/best_plan.json,
case_084,3,scored,836220,0,2.998507570,0,6,67.760,results_problem2/case_084_3cores/best_plan.json,
case_084,4,scored,629028,0,3.986169137,0,6,62.644,results_problem2/case_084_4cores/best_plan.json,
case_084,5,scored,503472,0,4.980241205,0,6,60.732,results_problem2/case_084_5cores/best_plan.json,
case_085,1,singlecore_reference,3187899,0,1.000000000,,0,0,,
case_085,2,scored,1577630,2521478,2.020688628,0,11,296.934,results_problem2/case_085_2cores/best_plan.json,
case_085,3,scored,1066107,6678380,2.990224246,0,11,283.300,results_problem2/case_085_3cores/best_plan.json,
case_085,4,scored,829851,8756146,3.841531793,0,10,256.640,results_problem2/case_085_4cores/best_plan.json,
case_085,5,scored,639555,11658808,4.984558013,0,11,269.775,results_problem2/case_085_5cores/best_plan.json,
case_086,1,singlecore_reference,118403,0,1.000000000,,0,0,,
case_086,2,scored,61662,584422,1.920193961,0,12,44.229,results_problem2/case_086_2cores/best_plan.json,
case_086,3,scored,44844,1034986,2.640330925,0,11,42.262,results_problem2/case_086_3cores/best_plan.json,
case_086,4,scored,37756,1373042,3.136004873,0,11,44.251,results_problem2/case_086_4cores/best_plan.json,
case_086,5,scored,37019,1625846,3.198438640,0,11,46.082,results_problem2/case_086_5cores/best_plan.json,
case_087,1,singlecore_reference,3974071,0,1.000000000,,0,0,,
case_087,2,scored,2038494,25416412,1.949513219,9464832,8,301.197,results_problem2/case_087_2cores/best_plan.json,
case_087,3,scored,1362031,14417640,2.917753708,3471120,9,301.260,results_problem2/case_087_3cores/best_plan.json,
case_087,4,scored,1039050,18544964,3.824715846,3655824,9,301.207,results_problem2/case_087_4cores/best_plan.json,
case_087,5,scored,824974,20694304,4.817207573,2486928,9,301.218,results_problem2/case_087_5cores/best_plan.json,
case_088,1,singlecore_reference,243623,0,1.000000000,,0,0,,
case_088,2,scored,122130,1087690,1.994784246,0,11,24.432,results_problem2/case_088_2cores/best_plan.json,
case_088,3,scored,86890,1607178,2.803809414,0,11,26.841,results_problem2/case_088_3cores/best_plan.json,
case_088,4,scored,71858,1900434,3.390339280,0,10,26.744,results_problem2/case_088_4cores/best_plan.json,
case_088,5,scored,67565,1750102,3.605757419,0,11,28.438,results_problem2/case_088_5cores/best_plan.json,
case_089,1,singlecore_reference,693092,0,1.000000000,,0,0,,
case_089,2,scored,346432,238720,2.000658138,0,5,18.030,results_problem2/case_089_2cores/best_plan.json,
case_089,3,scored,232474,960768,2.981374261,0,9,31.715,results_problem2/case_089_3cores/best_plan.json,
case_089,4,scored,173512,716160,3.994490295,0,5,19.259,results_problem2/case_089_4cores/best_plan.json,
case_089,5,scored,138740,954880,4.995617702,0,6,22.046,results_problem2/case_089_5cores/best_plan.json,
case_090,1,singlecore_reference,1178363,0,1.000000000,,0,0,,
case_090,2,scored,572687,10507392,2.057603892,8100864,9,11.470,results_problem2/case_090_2cores/best_plan.json,
case_090,3,scored,449438,12490752,2.621858855,7870464,11,15.336,results_problem2/case_090_3cores/best_plan.json,
case_090,4,scored,386202,12990336,3.051157166,6226944,7,11.896,results_problem2/case_090_4cores/best_plan.json,
case_090,5,scored,324975,12256896,3.626011232,3077376,10,15.380,results_problem2/case_090_5cores/best_plan.json,
case_091,1,singlecore_reference,9186769,0,1.000000000,,0,0,,
case_091,2,scored,4541048,45687788,2.023050406,23264736,6,301.717,results_problem2/case_091_2cores/best_plan.json,
case_091,3,scored,3033969,55675944,3.027970622,8110080,6,301.388,results_problem2/case_091_3cores/best_plan.json,
case_091,4,scored,2281443,55834308,4.026736149,7185568,7,301.638,results_problem2/case_091_4cores/best_plan.json,
case_091,5,scored,1885181,73487320,4.873149581,47296000,7,301.844,results_problem2/case_091_5cores/best_plan.json,
case_092,1,singlecore_reference,4815554,0,1.000000000,,0,0,,
case_092,2,scored,2518353,66503712,1.912183876,65541568,11,238.950,results_problem2/case_092_2cores/best_plan.json,
case_092,3,scored,1363431,6368448,3.531938177,0,10,196.379,results_problem2/case_092_3cores/best_plan.json,
case_092,4,scored,1443106,49115680,3.336937134,41816832,7,156.876,results_problem2/case_092_4cores/best_plan.json,
case_092,5,scored,1204969,30787968,3.996413186,22413312,9,173.543,results_problem2/case_092_5cores/best_plan.json,
case_093,1,singlecore_reference,74205,0,1.000000000,,0,0,,
case_093,2,scored,37827,8192,1.961694028,0,4,2.396,results_problem2/case_093_2cores/best_plan.json,
case_093,3,scored,25103,16384,2.956021193,0,4,2.398,results_problem2/case_093_3cores/best_plan.json,
case_093,4,scored,19779,24576,3.751706355,0,5,3.123,results_problem2/case_093_4cores/best_plan.json,
case_093,5,scored,15876,32768,4.674036281,0,4,2.672,results_problem2/case_093_5cores/best_plan.json,
case_094,1,singlecore_reference,94892,0,1.000000000,,0,0,,
case_094,2,scored,44003,318244,2.156489330,0,8,4.974,results_problem2/case_094_2cores/best_plan.json,
case_094,3,scored,30061,433732,3.156648149,0,11,7.613,results_problem2/case_094_3cores/best_plan.json,
case_094,4,scored,24044,489316,3.946597904,0,10,7.491,results_problem2/case_094_4cores/best_plan.json,
case_094,5,scored,23508,489312,4.036583291,0,11,7.949,results_problem2/case_094_5cores/best_plan.json,
case_095,1,singlecore_reference,2084853,0,1.000000000,,0,0,,
case_095,2,scored,1042890,0,1.999111124,0,6,23.053,results_problem2/case_095_2cores/best_plan.json,
case_095,3,scored,695775,0,2.996447127,0,6,21.407,results_problem2/case_095_3cores/best_plan.json,
case_095,4,scored,524422,0,3.975525436,0,6,20.648,results_problem2/case_095_4cores/best_plan.json,
case_095,5,scored,420852,0,4.953886402,0,6,20.569,results_problem2/case_095_5cores/best_plan.json,
case_096,1,singlecore_reference,84194,0,1.000000000,,0,0,,
case_096,2,scored,41875,75608,2.010602985,0,11,9.609,results_problem2/case_096_2cores/best_plan.json,
case_096,3,scored,27940,178800,3.013385827,0,11,11.225,results_problem2/case_096_3cores/best_plan.json,
case_096,4,scored,22623,307996,3.721610750,0,11,11.784,results_problem2/case_096_4cores/best_plan.json,
case_096,5,scored,18827,218780,4.471981728,0,12,11.371,results_problem2/case_096_5cores/best_plan.json,
case_097,1,singlecore_reference,11491509,0,1.000000000,,0,0,,
case_097,2,scored,5248026,38486016,2.189682178,19120128,7,67.848,results_problem2/case_097_2cores/best_plan.json,
case_097,3,scored,3475276,43806720,3.306646436,1204224,8,81.034,results_problem2/case_097_3cores/best_plan.json,
case_097,4,scored,2580236,9043968,4.453665866,1376256,7,52.474,results_problem2/case_097_4cores/best_plan.json,
case_097,5,scored,2077977,44935168,5.530142538,0,7,79.772,results_problem2/case_097_5cores/best_plan.json,
case_098,1,singlecore_reference,177430,0,1.000000000,,0,0,,
case_098,2,scored,89102,315548,1.991313326,0,11,11.544,results_problem2/case_098_2cores/best_plan.json,
case_098,3,scored,61115,442608,2.903215250,0,11,12.661,results_problem2/case_098_3cores/best_plan.json,
case_098,4,scored,45978,700764,3.859019531,0,11,13.161,results_problem2/case_098_4cores/best_plan.json,
case_098,5,scored,39566,438584,4.484405803,0,11,13.651,results_problem2/case_098_5cores/best_plan.json,
case_099,1,singlecore_reference,1622999,0,1.000000000,,0,0,,
case_099,2,scored,800139,3109120,2.028396316,0,11,54.443,results_problem2/case_099_2cores/best_plan.json,
case_099,3,scored,535357,4926976,3.031620022,0,11,59.726,results_problem2/case_099_3cores/best_plan.json,
case_099,4,scored,402163,6932480,4.035674590,0,7,48.802,results_problem2/case_099_4cores/best_plan.json,
case_099,5,scored,324419,8645888,5.002786520,0,8,54.561,results_problem2/case_099_5cores/best_plan.json,
case_100,1,singlecore_reference,151223,0,1.000000000,,0,0,,
case_100,2,scored,69123,449164,2.187737801,0,11,12.447,results_problem2/case_100_2cores/best_plan.json,
case_100,3,scored,44746,743880,3.379587002,0,11,13.583,results_problem2/case_100_3cores/best_plan.json,
case_100,4,scored,37217,981228,4.063277534,0,11,13.069,results_problem2/case_100_4cores/best_plan.json,
case_100,5,scored,36479,1090056,4.145480962,0,11,12.959,results_problem2/case_100_5cores/best_plan.json,
